Episode 0, Reward: -384.1, Epsilon: 0.995
Episode 1, Reward: -118.1, Epsilon: 0.990
Episode 2, Reward: -85.9, Epsilon: 0.985
Episode 3, Reward: -172.6, Epsilon: 0.980
Episode 4, Reward: -76.3, Epsilon: 0.975
Episode 5, Reward: -38.4, Epsilon: 0.970
Episode 6, Reward: -92.6, Epsilon: 0.966
Episode 7, Reward: -259.5, Epsilon: 0.961
Episode 8, Reward: -102.4, Epsilon: 0.956
Episode 9, Reward: -220.5, Epsilon: 0.951
Episode 10, Reward: -240.6, Epsilon: 0.946
Episode 11, Reward: -115.5, Epsilon: 0.942
Episode 12, Reward: -110.9, Epsilon: 0.937
Episode 13, Reward: -149.0, Epsilon: 0.932
Episode 14, Reward: -273.0, Epsilon: 0.928
Episode 15, Reward: -322.1, Epsilon: 0.923
Episode 16, Reward: -179.6, Epsilon: 0.918
Episode 17, Reward: -101.6, Epsilon: 0.914
Episode 18, Reward: -133.9, Epsilon: 0.909
Episode 19, Reward: -309.0, Epsilon: 0.905
Episode 20, Reward: -125.7, Epsilon: 0.900
Episode 21, Reward: -225.5, Epsilon: 0.896
Episode 22, Reward: -97.7, Epsilon: 0.891
Episode 23, Reward: -122.2, Epsilon: 0.887
Episode 24, Reward: -27.6, Epsilon: 0.882
Episode 25, Reward: -186.4, Epsilon: 0.878
Episode 26, Reward: -48.7, Epsilon: 0.873
Episode 27, Reward: -30.6, Epsilon: 0.869
Episode 28, Reward: -377.9, Epsilon: 0.865
Episode 29, Reward: -112.0, Epsilon: 0.860
Episode 30, Reward: -98.9, Epsilon: 0.856
Episode 31, Reward: -141.5, Epsilon: 0.852
Episode 32, Reward: -103.7, Epsilon: 0.848
Episode 33, Reward: -124.0, Epsilon: 0.843
Episode 34, Reward: -209.3, Epsilon: 0.839
Episode 35, Reward: -253.4, Epsilon: 0.835
Episode 36, Reward: -71.5, Epsilon: 0.831
Episode 37, Reward: -84.6, Epsilon: 0.827
Episode 38, Reward: -117.2, Epsilon: 0.822
Episode 39, Reward: -90.4, Epsilon: 0.818
Episode 40, Reward: -97.5, Epsilon: 0.814
Episode 41, Reward: -135.3, Epsilon: 0.810
Episode 42, Reward: -106.1, Epsilon: 0.806
Episode 43, Reward: 5.9, Epsilon: 0.802
Episode 44, Reward: -140.8, Epsilon: 0.798
Episode 45, Reward: 28.0, Epsilon: 0.794
Episode 46, Reward: -106.4, Epsilon: 0.790
Episode 47, Reward: 77.6, Epsilon: 0.786
Episode 48, Reward: -106.6, Epsilon: 0.782
Episode 49, Reward: -78.4, Epsilon: 0.778
Episode 50, Reward: -120.5, Epsilon: 0.774
Episode 51, Reward: -82.0, Epsilon: 0.771
Episode 52, Reward: -49.2, Epsilon: 0.767
Episode 53, Reward: -83.4, Epsilon: 0.763
Episode 54, Reward: -59.2, Epsilon: 0.759
Episode 55, Reward: -80.5, Epsilon: 0.755
Episode 56, Reward: -104.0, Epsilon: 0.751
Episode 57, Reward: -135.8, Epsilon: 0.748
Episode 58, Reward: -79.0, Epsilon: 0.744
Episode 59, Reward: -158.5, Epsilon: 0.740
Episode 60, Reward: -46.9, Epsilon: 0.737
Episode 61, Reward: -75.8, Epsilon: 0.733
Episode 62, Reward: -69.7, Epsilon: 0.729
Episode 63, Reward: -114.4, Epsilon: 0.726
Episode 64, Reward: -94.7, Epsilon: 0.722
Episode 65, Reward: -101.8, Epsilon: 0.718
Episode 66, Reward: -173.6, Epsilon: 0.715
Episode 67, Reward: -73.8, Epsilon: 0.711
Episode 68, Reward: -106.5, Epsilon: 0.708
Episode 69, Reward: -194.5, Epsilon: 0.704
Episode 70, Reward: -101.5, Epsilon: 0.701
Episode 71, Reward: -172.6, Epsilon: 0.697
Episode 72, Reward: -69.4, Epsilon: 0.694
Episode 73, Reward: -103.2, Epsilon: 0.690
Episode 74, Reward: -18.8, Epsilon: 0.687
Episode 75, Reward: -53.5, Epsilon: 0.683
Episode 76, Reward: -76.7, Epsilon: 0.680
Episode 77, Reward: -88.5, Epsilon: 0.676
Episode 78, Reward: -87.3, Epsilon: 0.673
Episode 79, Reward: -166.0, Epsilon: 0.670
Episode 80, Reward: -62.4, Epsilon: 0.666
Episode 81, Reward: -3.8, Epsilon: 0.663
Episode 82, Reward: -35.3, Epsilon: 0.660
Episode 83, Reward: -124.0, Epsilon: 0.656
Episode 84, Reward: -73.2, Epsilon: 0.653
Episode 85, Reward: -125.1, Epsilon: 0.650
Episode 86, Reward: -172.2, Epsilon: 0.647
Episode 87, Reward: -64.9, Epsilon: 0.643
Episode 88, Reward: -83.8, Epsilon: 0.640
Episode 89, Reward: -80.1, Epsilon: 0.637
Episode 90, Reward: -54.0, Epsilon: 0.634
Episode 91, Reward: -75.4, Epsilon: 0.631
Episode 92, Reward: -126.7, Epsilon: 0.627
Episode 93, Reward: -43.9, Epsilon: 0.624
Episode 94, Reward: -15.3, Epsilon: 0.621
Episode 95, Reward: -207.1, Epsilon: 0.618
Episode 96, Reward: -80.7, Epsilon: 0.615
Episode 97, Reward: -62.0, Epsilon: 0.612
Episode 98, Reward: -44.9, Epsilon: 0.609
Episode 99, Reward: -13.9, Epsilon: 0.606
Evaluation: -276.9
New best model saved!
Episode 100, Reward: -72.1, Epsilon: 0.603
Episode 101, Reward: -41.8, Epsilon: 0.600
